T (K),ΔG (kJ/mol),Exergy Efficiency (%)
280.0,213.1248598248085,-24.497110324690635
282.44897959183675,213.03108916151533,-24.486332087530496
284.8979591836735,212.9373184982221,-24.475553850370357
287.3469387755102,212.84354783492887,-24.464775613210215
289.7959183673469,212.74977717163566,-24.453997376050076
292.2448979591837,212.65600650834244,-24.443219138889937
294.6938775510204,212.5622358450492,-24.432440901729795
297.14285714285717,212.46846518175602,-24.421662664569656
299.59183673469386,212.37469451846275,-24.410884427409513
302.0408163265306,212.28092385516956,-24.400106190249375
304.48979591836735,212.18715319187635,-24.389327953089236
306.9387755102041,212.0933825285831,-24.378549715929093
309.38775510204084,211.9996118652899,-24.36777147876895
311.83673469387753,211.90584120199668,-24.356993241608816
314.2857142857143,211.81207053870344,-24.34621500444867
316.734693877551,211.71829987541025,-24.335436767288535
319.18367346938777,211.62452921211698,-24.32465853012839
321.63265306122446,211.5307585488238,-24.31388029296825
324.0816326530612,211.43698788553058,-24.30310205580811
326.53061224489795,211.34321722223734,-24.292323818647972
328.9795918367347,211.24944655894416,-24.281545581487833
331.42857142857144,211.15567589565092,-24.270767344327695
333.8775510204082,211.0619052323577,-24.259989107167552
336.3265306122449,210.9681345690645,-24.249210870007413
338.7755102040816,210.87436390577128,-24.238432632847275
341.2244897959184,210.78059324247803,-24.227654395687132
343.6734693877551,210.68682257918485,-24.216876158526993
346.1224489795918,210.59305191589158,-24.206097921366847
348.57142857142856,210.4992812525984,-24.195319684206712
351.0204081632653,210.40551058930515,-24.18454144704657
353.46938775510205,210.31173992601194,-24.17376320988643
355.9183673469388,210.21796926271873,-24.16298497272629
358.36734693877554,210.1241985994255,-24.15220673556615
360.81632653061223,210.03042793613227,-24.141428498406007
363.265306122449,209.93665727283908,-24.13065026124587
365.7142857142857,209.84288660954581,-24.119872024085726
368.16326530612247,209.74911594625263,-24.10909378692559
370.61224489795916,209.65534528295944,-24.098315549765452
373.0612244897959,209.56157461966617,-24.08753731260531
375.51020408163265,209.467803956373,-24.07675907544517
377.9591836734694,209.37403329307975,-24.065980838285032
380.40816326530614,209.28026262978656,-24.055202601124893
382.8571428571429,209.18649196649332,-24.044424363964747
385.3061224489796,209.0927213032001,-24.033646126804612
387.7551020408163,208.99895063990687,-24.022867889644466
390.2040816326531,208.90517997661368,-24.01208965248433
392.6530612244898,208.8114093133204,-24.001311415324185
395.1020408163265,208.71763865002723,-23.990533178164046
397.55102040816325,208.62386798673398,-23.979754941003907
400.0,208.53009732344077,-23.968976703843765
