T (K),ΔG (kJ/mol),Exergy Efficiency (%)
280.0,-330.8369659628085,173.21307118471648
282.44897959183675,-330.7431952995153,173.16397659660487
284.8979591836735,-330.6494246362221,173.11488200849323
287.3469387755102,-330.5556539729289,173.0657874203816
289.7959183673469,-330.4618833096357,173.01669283227
292.2448979591837,-330.3681126463424,172.96759824415835
294.6938775510204,-330.2743419830492,172.91850365604674
297.14285714285717,-330.18057131975604,172.86940906793512
299.59183673469386,-330.0868006564628,172.82031447982345
302.0408163265306,-329.9930299931696,172.77121989171184
304.48979591836735,-329.8992593298763,172.7221253036002
306.9387755102041,-329.80548866658313,172.67303071548855
309.38775510204084,-329.7117180032899,172.6239361273769
311.83673469387753,-329.6179473399967,172.57484153926526
314.2857142857143,-329.52417667670346,172.52574695115362
316.734693877551,-329.4304060134102,172.476652363042
319.18367346938777,-329.336635350117,172.42755777493036
321.63265306122446,-329.2428646868238,172.37846318681875
324.0816326530612,-329.1490940235306,172.32936859870713
326.53061224489795,-329.05532336023737,172.28027401059546
328.9795918367347,-328.9615526969442,172.23117942248385
331.42857142857144,-328.8677820336509,172.1820848343722
333.8775510204082,-328.7740113703577,172.1329902462606
336.3265306122449,-328.6802407070645,172.08389565814898
338.7755102040816,-328.5864700437713,172.03480107003736
341.2244897959184,-328.4926993804781,171.9857064819257
343.6734693877551,-328.39892871718484,171.93661189381407
346.1224489795918,-328.3051580538916,171.88751730570243
348.57142857142856,-328.2113873905984,171.8384227175908
351.0204081632653,-328.1176167273052,171.78932812947914
353.46938775510205,-328.023846064012,171.7402335413675
355.9183673469388,-327.9300754007187,171.69113895325586
358.36734693877554,-327.8363047374255,171.64204436514424
360.81632653061223,-327.74253407413227,171.5929497770326
363.265306122449,-327.6487634108391,171.543855188921
365.7142857142857,-327.55499274754584,171.49476060080931
368.16326530612247,-327.46122208425265,171.4456660126977
370.61224489795916,-327.36745142095936,171.39657142458606
373.0612244897959,-327.27368075766617,171.34747683647444
375.51020408163265,-327.179910094373,171.29838224836283
377.9591836734694,-327.08613943107974,171.24928766025116
380.40816326530614,-326.99236876778656,171.20019307213954
382.8571428571429,-326.8985981044933,171.15109848402793
385.3061224489796,-326.80482744120013,171.1020038959163
387.7551020408163,-326.7110567779069,171.05290930780467
390.2040816326531,-326.6172861146137,171.00381471969303
392.6530612244898,-326.52351545132046,170.95472013158138
395.1020408163265,-326.4297447880273,170.90562554346977
397.55102040816325,-326.335974124734,170.8565309553581
400.0,-326.2422034614408,170.80743636724648
