T (K),ΔG (kJ/mol),Exergy Efficiency (%)
280.0,528.9714547609132,100.0
282.44897959183675,532.112771981236,100.0
284.8979591836735,535.2540892015588,100.0
287.3469387755102,538.3954064218816,100.0
289.7959183673469,541.5367236422046,100.0
292.2448979591837,544.6780408625275,100.0
294.6938775510204,547.8193580828503,100.0
297.14285714285717,550.9606753031732,100.0
299.59183673469386,554.1019925234959,100.0
302.0408163265306,557.2433097438188,100.0
304.48979591836735,560.3846269641416,100.0
306.9387755102041,563.5259441844646,100.0
309.38775510204084,566.6672614047874,100.0
311.83673469387753,569.8085786251102,100.0
314.2857142857143,572.9498958454332,100.0
316.734693877551,576.0912130657559,100.0
319.18367346938777,579.2325302860789,100.0
321.63265306122446,582.3738475064016,100.0
324.0816326530612,585.5151647267246,100.0
326.53061224489795,588.6564819470474,100.0
328.9795918367347,591.7977991673702,100.0
331.42857142857144,594.939116387693,100.0
333.8775510204082,598.080433608016,100.0
336.3265306122449,601.2217508283388,100.0
338.7755102040816,604.3630680486617,100.0
341.2244897959184,607.5043852689846,100.0
343.6734693877551,610.6457024893075,100.0
346.1224489795918,613.7870197096302,100.0
348.57142857142856,616.928336929953,100.0
351.0204081632653,620.0696541502759,100.0
353.46938775510205,623.2109713705987,100.0
355.9183673469388,626.3522885909217,100.0
358.36734693877554,629.4936058112445,100.0
360.81632653061223,632.6349230315674,100.0
363.265306122449,635.7762402518903,100.0
365.7142857142857,638.917557472213,100.0
368.16326530612247,642.0588746925359,100.0
370.61224489795916,645.2001919128587,100.0
373.0612244897959,648.3415091331816,100.0
375.51020408163265,651.4828263535045,100.0
377.9591836734694,654.6241435738275,100.0
380.40816326530614,657.7654607941503,100.0
382.8571428571429,660.9067780144732,100.0
385.3061224489796,664.0480952347959,100.0
387.7551020408163,667.1894124551187,100.0
390.2040816326531,670.3307296754416,100.0
392.6530612244898,673.4720468957645,100.0
395.1020408163265,676.6133641160873,100.0
397.55102040816325,679.7546813364103,100.0
400.0,682.895998556733,100.0
